state,action,q_value,action_count,state_visits,last_updated
intent_take_screenshot,open_photo_viewer,0.6299385000000001,6,7,2025-09-30T16:45:51.664360
intent_take_screenshot,open_notepad,0.1,1,7,2025-09-30T16:45:51.664380
intent_create_document,check_disk_usage,0.05,1,1,2025-09-30T16:45:51.664386
intent_unknown_action,open_music_player,0.8167735455,9,10,2025-09-30T16:45:51.664391
intent_unknown_action,volume_up,0.05,1,10,2025-09-30T16:45:51.664394
intent_show_system_info,check_memory_usage,0.05,1,1,2025-09-30T16:45:51.664866
intent_open_documents_folder,open_photo_viewer,0.15000000000000002,1,1,2025-09-30T16:45:51.664886
intent_open_calculator,fullscreen_mode,0.195,2,2,2025-09-30T16:45:51.664894
intent_max_volume,lock_screen,0.15000000000000002,1,1,2025-09-30T16:45:51.664901
intent_volume_down,clear_browser_data,0.15000000000000002,1,2,2025-09-30T16:45:51.664909
intent_volume_down,open_settings,0.05,1,2,2025-09-30T16:45:51.664914
intent_open_file,min_volume,0.15000000000000002,1,1,2025-09-30T16:45:51.664922
intent_check_cpu_usage,open_text_editor,0.05,1,1,2025-09-30T16:45:51.664929
intent_open_browser,clear_browser_data,0.095,2,2,2025-09-30T16:45:51.664935
intent_open_notepad,clear_browser_data,0.05,1,6,2025-09-30T16:45:51.664941
intent_open_notepad,scan_for_malware,0.05,1,6,2025-09-30T16:45:51.664949
intent_open_notepad,open_notepad,0.4794,4,6,2025-09-30T16:45:51.664955
intent_minimize_all_windows,open_text_editor,0.05,1,2,2025-09-30T16:45:51.664962
intent_minimize_all_windows,close_all_windows,0.05,1,2,2025-09-30T16:45:51.664970
intent_check_network_status,open_settings,0.05,1,1,2025-09-30T16:45:51.664975
intent_open_settings,show_running_processes,0.095,2,3,2025-09-30T16:45:51.664981
intent_open_settings,open_settings,0.1,1,3,2025-09-30T16:45:51.664988
intent_toggle_audio,open_photo_viewer,0.15000000000000002,1,1,2025-09-30T16:45:51.664996
intent_mute_audio,open_settings,0.33485,4,6,2025-09-30T16:45:51.665001
intent_mute_audio,open_notepad,0.1,1,6,2025-09-30T16:45:51.665009
intent_mute_audio,mute_audio,0.1,1,6,2025-09-30T16:45:51.665014
intent_close_active_window,check_privacy_settings,0.05,1,1,2025-09-30T16:45:51.665019
intent_volume_up,mute_audio,0.05,1,2,2025-09-30T16:45:51.668286
intent_volume_up,volume_up,0.1,1,2,2025-09-30T16:45:51.668296
intent_fullscreen_mode,open_calendar,0.05,1,2,2025-09-30T16:45:51.668302
intent_fullscreen_mode,fullscreen_mode,0.1,1,2,2025-09-30T16:45:51.668307
intent_lock_screen,scan_for_malware,0.15000000000000002,1,1,2025-09-30T16:45:51.668313
intent_start_timer,check_network_status,0.2,1,1,2025-09-30T16:45:51.668318
intent_open_text_editor,check_network_status,0.2,1,1,2025-09-30T16:45:51.668324
